openbareruimte;huisnummer;huisletter;huisnummertoevoeging;postcode;woonplaats;gemeente;provincie;nummeraanduiding;verblijfsobjectgebruiksdoel;oppervlakteverblijfsobject;verblijfsobjectstatus;object_id;object_type;nevenadres;pandid;pandstatus;pandbouwjaar;x;y;lon;lat
De Ruijterkade;149;A;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;87;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122418;487826;4.908.710.954.568;523.773.356.801.821
De Ruijterkade;149;B;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;89;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122416;487826;490.868.158.391.036;523.773.355.614.986
De Ruijterkade;149;C;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;106;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122416;487826;490.868.158.391.036;523.773.355.614.986
De Ruijterkade;150;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;109;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1916;122431;487817;490.890.273.615.492;523.772.555.657.505
De Ruijterkade;151;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie, kantoorfunctie, sportfunctie;1994;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2009;122439;487854;490.901.663.328.088;52.377.588.570.304
De Ruijterkade;152;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;overige gebruiksfunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2008;122451;487822;490.919.595.789.988;523.773.016.882.084
De Ruijterkade;154;;;1011AC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;overige gebruiksfunctie;8038;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2008;122467;487818;490.943.131.026.434;523.772.666.872.503
Oosterdokskade;1;A;;1011AD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;winkelfunctie;25;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2011;122.124.767;487.785.839;490.440.866.258.644;523.769.572.626.732
Oosterdokskade;1;;;1011AD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie;235;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2011;122.130.306;487770.5;490.449.150.429.002;523.768.197.381.563
Oosterdokskade;3;;;1011AD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie;880;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2011;122175;487744;490.515.043.103.433;523.765.842.484.984
Oosterdokskade;100;;;1011AE;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;157;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;2005;122557;487630;491.077.113.830.719;523.755.823.994.178
Oosterdokskade;190;;;1011AE;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;bijeenkomstfunctie, kantoorfunctie;732;Verblijfsobject gevormd;3,6301E+14;VBO;f;3,631E+14;Bouwvergunning verleend;2018;122.527.246;487.798.705;491.031.790.595.967;52.377.096.843.573
Oosterdokskade;200;;;1011AE;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;690;Verblijfsobject gevormd;3,6301E+14;VBO;f;3,631E+14;Bouwvergunning verleend;2017;122.515.408;487.809.608;491.014.300.793.856;523.771.941.318.856
Prins Hendrikkade;107;;H;1011AJ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;200;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122014;487605;490.279.977.865.865;523.753.253.660.097
Prins Hendrikkade;108;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Prins Hendrikkade;108;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Prins Hendrikkade;114;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Prins Hendrikkade;114;;;1011AK;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Houtkopersdwarsstraat;4;;;1011AL;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;150;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1900;121951;486883;490.194.563.656.239;523.688.327.460.147
Houtkopersdwarsstraat;6;;;1011AL;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;winkelfunctie;22;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1900;121956;486881;490.201.924.565.716;523.688.150.722.556
Prins Hendrikkade;120;;;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;507;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122145;487481;49.047.355.910.052;523.742.187.946.953
Prins Hendrikkade;121;;2;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;150;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1675;122150;487476;490.480.950.117.332;523.741.741.573.272
Prins Hendrikkade;121;;H;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie, bijeenkomstfunctie;238;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1675;122150;487476;490.480.950.117.332;523.741.741.573.272
Prins Hendrikkade;122;A;;1011AM;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;121;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122154;487473;490.486.853.146.896;523.741.474.347.001
Prins Hendrikkade;141;C;;1011AS;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;142;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122244;487390;490.619.820.495.901;5.237.340.686.454
Prins Hendrikkade;141;D;;1011AS;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;159;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122244;487390;490.619.820.495.901;5.237.340.686.454
Prins Hendrikkade;142;;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie, onderwijsfunctie;1165;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122249;487384;490.627.220.974.666;523.733.532.389.438
Prins Hendrikkade;143;A;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;182;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122255;487379;490.636.080.091.646;523.733.086.602.355
Prins Hendrikkade;143;B;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;72;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122255;487379;490.636.080.091.646;523.733.086.602.355
Prins Hendrikkade;146;A;2;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;180;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1651;122.268.508;487.366.065;490.656.041.196.477;523.731.932.147.658
Prins Hendrikkade;146;B;;1011AT;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;159;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1651;122268;487365;490.655.305.623.433;523.731.836.130.068
Prins Hendrikkade;147;;1;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;258;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122274;487362;490.664.145.204.398;523.731.570.086.957
Prins Hendrikkade;147;;H;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;128;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122274;487362;490.664.145.204.398;523.731.570.086.957
Prins Hendrikkade;148;;;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;250;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122277;487359;490.668.579.594.989;52.373.130.225.558
Prins Hendrikkade;149;;1;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;75;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1879;122.282.734;487.355.451;49.067.703.390.914;523.730.986.712.688
Prins Hendrikkade;149;;2;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;43;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1879;122281;487355;490.674.492.107.444;523.730.945.146.815
Prins Hendrikkade;149;;H;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;gezondheidszorgfunctie;240;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1879;122.281.546;487.357.067;490.675.273.727.931;523.731.131.239.726
Prins Hendrikkade;150;A;;1011AV;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;68;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122285;487352;490.680.394.876.741;523.730.677.910.803
Buiten Bantammerstraat;11;;;1011AX;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;150;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122119;487454;4.904.356.441.053;523.739.745.813.338
Buiten Bantammerstraat;13;;;1011AX;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;217;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122115;487450;490.429.809.560.843;523.739.383.926.008
Buiten Bantammerstraat;15;;;1011AX;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;98;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122106;487442;490.416.672.083.321;523.738.659.551.464
Buiten Bantammerstraat;17;;;1011AX;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;107;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122108;487444;490.419.589.344.231;523.738.840.495.491
Buiten Bantammerstraat;19;;;1011AX;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;93;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122110;487446;490.422.506.607.522;523.739.021.439.446
Buiten Bantammerstraat;21;;;1011AX;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;92;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122112;487449;490.425.414.087.632;523.739.292.256.336
Schippersstraat;1;;;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;975;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1005;122233;487400;490.603.570.577.468;523.734.960.813.147
Schippersstraat;3;;1;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;41;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122215;487390;490.577.236.830.236;523.734.051.339.207
Schippersstraat;3;;2;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;40;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122215;487390;490.577.236.830.236;523.734.051.339.207
Schippersstraat;3;;H;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;66;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122.213.754;487.391.119;490.575.396.285.238;52.373.415.116.322
Schippersstraat;5;;1;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;41;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122212;487385;490.572.880.401.276;523.733.600.182.867
Schippersstraat;5;;2;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;42;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122212;487385;490.572.880.401.276;523.733.600.182.867
Schippersstraat;5;;3;1011AZ;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;71;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik (niet ingemeten);1933;122212;487385;490.572.880.401.276;523.733.600.182.867
Schippersstraat;14;;;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;287;Verblijfsobject gevormd;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122196;487390;490.549.337.189.287;523.734.039.992.362
Schippersstraat;14;;;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;287;Verblijfsobject gevormd;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122196;487390;490.549.337.189.287;523.734.039.992.362
Schippersstraat;14;;;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;overige gebruiksfunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122196;487390;490.549.337.189.287;523.734.039.992.362
Schippersstraat;16;;1;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122193;487386;490.544.971.027.691;523.733.678.708.029
Schippersstraat;16;;H;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;61;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122193;487386;490.544.971.027.691;523.733.678.708.029
Schippersstraat;18;;1;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;53;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122190;487382;490.540.604.873.205;523.733.317.423.534
Schippersstraat;18;;H;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;overige gebruiksfunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122190;487382;490.540.604.873.205;523.733.317.423.534
Schippersstraat;20;;1;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;48;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1943;122187;487378;49.053.623.872.583;523.732.956.138.875
Schippersstraat;20;;2;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;104;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1943;122.185.371;487.376.686;490.533.859.533.789;523.732.837.072.299
Schippersstraat;20;;H;1011BB;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;industriefunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1943;122177;487367;490.521.662.165.638;523.731.961.559.247
Kalkmarkt;1;;;1011BC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;winkelfunctie;130;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122308;487331;490.714.372.137.355;523.728.804.274.006
Kalkmarkt;2;;;1011BC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;270;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122301;487327;490.704.132.357.113;523.728.440.614.046
Kalkmarkt;3;;1;1011BC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;57;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1645;122.295.202;487.326.561;490.695.622.939.366;523.728.397.707.031
Kalkmarkt;3;;2;1011BC;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;54;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1645;122.294.762;487.327.131;490.694.971.304.094;523.728.448.672.627
Kalkmarkt;10;B;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;59;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122267;487301;490.654.460.518.515;523.726.083.658.689
Kalkmarkt;10;C;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;64;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122267;487301;490.654.460.518.515;523.726.083.658.689
Kalkmarkt;10;D;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;135;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122267;487301;490.654.460.518.515;523.726.083.658.689
Kalkmarkt;10;E;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;32;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122267;487301;490.654.460.518.515;523.726.083.658.689
Kalkmarkt;11;;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;147;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1972;122262;487299;49.064.713.811.932;523.725.900.932.007
Kalkmarkt;12;;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;171;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1972;122257;487296;490.639.825.467.889;523.725.628.331.817
Kalkmarkt;16;;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;1.223.057.255;4.873.014.975;490.711.319.275.418;523.726.151.439.922
Kalkmarkt;17;;;1011BD;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.281.509.367.271;487.285.707.047.523;490.675.914.592.789;523.724.717.880.902
Binnenkant;1;A;1;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;industriefunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122.069.735;487558.25;490.362.280.876.205;523.749.085.551.378
Binnenkant;1;A;2;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;industriefunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122.063.794;487.563.587;490.353.504.500.422;523.749.561.640.335
Binnenkant;1;A;3;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;industriefunctie;1;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122.054.831;487.570.838;490.340.271.672.425;523.750.207.932.474
Binnenkant;1;B;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.059.329.892.514;487.557.897.907.486;490.347.004.930.734;523.749.047.666.826
Binnenkant;1;C;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.054.816.551.311;487.544.538.859.414;490.340.508.267.721;523.747.844.341.634
Binnenkant;2;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.063.013.050.821;487.535.607.558.483;490.352.631.928.506;523.747.046.576.008
Binnenkant;3;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.056.177.687.297;487.510.737.849.583;490.342.838.360.036;523.744.807.360.558
Binnenkant;4;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.058.858.275.614;487.485.576.257.042;490.347.021.260.173;523.742.547.621.087
Binnenkant;5;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Binnenkant;5;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Binnenkant;6;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Binnenkant;6;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Binnenkant;7;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Pand in gebruik;1915;122087;487529;49.038.792.015.193;523.746.467.117.595
Binnenkant;7;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;logiesfunctie;15950;Verblijfsobject in gebruik;3,6301E+14;VBO;t;3,631E+14;Bouwvergunning verleend;2014;122087;487529;49.038.792.015.193;523.746.467.117.595
Binnenkant;8;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.058.921.733.583;487.465.290.073.748;490.347.313.278.397;523.740.724.479.093
Binnenkant;9;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.060.310.301.266;487.458.519.223.462;49.034.941.864.551;52.374.011.679.544
Binnenkant;10;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.063.031.213.546;487.453.325.773.152;490.353.464.989.357;523.739.651.676.577
Binnenkant;11;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.065.784.195.949;487.446.808.034.209;49.035.757.139.419;523.739.067.559.009
Binnenkant;12;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;kantoorfunctie;368;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122090;487463;490.392.971.774.399;523.740.537.297.854
Binnenkant;13;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.069.986.390.025;487.441.884.222.745;490.363.790.217.168;523.738.627.561.421
Binnenkant;14;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.086.323.970.279;487.415.126.029.613;49.038.804.264.398;523.736.232.516.997
Binnenkant;15;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;122.090.842.193.661;487.413.129.172.993;490.394.696.796.933;523.736.055.761.415
Binnenkant;16;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;Ligplaats;0;Plaats aangewezen;3,6302E+14;LIG;f;;;;12.209.377.904.634;487.409.190.289.031;490.399.047.861.315;523.735.703.522.012
Binnenkant;17;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;125;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1005;122103;487436;490.412.325.560.989;523.738.118.516.261
Binnenkant;18;;;1011BG;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;500;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1905;122106;487431;490.416.779.743.537;52.373.767.094.836
Binnenkant;19;A;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;92;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122112;487428;490.425.619.583.465;523.737.404.923.125
Binnenkant;19;B;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;80;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122112;487428;490.425.619.583.465;523.737.404.923.125
Binnenkant;19;C;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;82;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122112;487428;490.425.619.583.465;523.737.404.923.125
Binnenkant;19;D;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;82;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122112;487428;490.425.619.583.465;523.737.404.923.125
Binnenkant;19;E;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;82;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122112;487428;490.425.619.583.465;523.737.404.923.125
Binnenkant;20;A;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;190;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122116;487423;490.431.542.156.984;523.736.957.953.561
Binnenkant;20;B;;1011BH;Amsterdam;Amsterdam;Noord-Holland;3,632E+14;woonfunctie;68;Verblijfsobject in gebruik;3,6301E+14;VBO;f;3,631E+14;Pand in gebruik;1884;122116;487423;490.431.542.156.984;523.736.957.953.561
